,Planet,Hydrogen Inventory [H oceans],Redox State,Nightside Detected,Number of observations,Surface Pressure [bar],Atmospheric Components,Transit Duration (hours),Integration Time (hours),Orbital Period (hours)
0,HD3167,H10,IW4,True,15,10.902882027016927,"SO2, H2O",1.61,345.59999999999997,23.04
1,HD3167,H20,IW4,True,13,301.8890797227862,"CO2, N2",1.61,299.52,23.04
2,K2141,H20,IW4,True,8,169.22136726072793,"SO2, H2O",0.94,53.760000000000005,6.720000000000001
3,K2141,H30,IW2,True,8,16.02839383575698,"SO2, S2",0.94,53.760000000000005,6.720000000000001
4,LHS1478,H05,IW0,True,10000,317.21236610527086,"H2O, S2",0.71,468000.0,46.8
5,LHS1478,H05,IW4,True,10000,2693.2161974990063,"CO2, H2O",0.71,468000.0,46.8
6,TOI1416,H10,IW0,True,30,4.9946599634028965,"H2, H2O",1.5,720.0,24.0
7,TOI1416,H10,IW4,True,49,55.97088523656926,"CO2, SO2",1.5,1176.0,24.0
8,TOI1416,H20,IW0,True,35,437.01974105049806,"CO, N2",1.5,840.0,24.0
9,TOI1807,H10,IW0,True,21,153.4742926519814,"CO, N2",0.98,277.2,13.2
10,TOI1807,H20,IW0,True,21,772.4945333188908,"CO, N2",0.98,277.2,13.2
11,TOI1807,H5,IW4,True,32,13.56641297896406,"SO2, H2O",0.98,422.4,13.2
12,TOI431,H10,IW4,True,9,180.56044508735184,"SO2, S2",1.24,105.84,11.76
13,TOI431,H20,IW4,True,8,256.2285386842804,"SO2, H2O",1.24,94.08,11.76
14,TOI500,H20,IW4,True,36,217.25748870954104,"H2O, SO2",0.99,475.2,13.2
15,TOI561,H20,IW4,True,35,45.076656752754914,"H2O, O2",1.31,378.0,10.8
