,Planet,Hydrogen Inventory [H oceans],Redox State,Nightside Detected,Number of observations,Surface Pressure [bar],Atmospheric Components,Transit Duration (hours),Integration Time (hours),Total Telescope Time (hours),Orbital Period (hours)
0,HD3167,H10,IW4,True,127,10.902882027016927,"SO2, H2O",1.61,526.1650000000001,1463.04,23.04
1,HD3167,H20,IW4,True,111,301.8890797227862,"CO2, N2",1.61,461.765,1278.72,23.04
2,K2141,H10,IW4,True,68,37.15553686102315,"SO2, H2O",0.94,161.81999999999996,228.48,6.720000000000001
3,K2141,H10,IW4,True,97,474.71853428991705,"SO2, S2",0.94,229.97,325.9200000000001,6.720000000000001
4,LHS1478,H05,IW0,True,74000,317.21236610527086,"H2O, S2",0.71,131393.24999999997,1731600.0,46.8
5,LHS1478,H05,IW4,True,67000,2693.2161974990063,"CO2, H2O",0.71,118968.25,1567800.0,46.8
6,TOI1416,H10,IW0,True,250,4.9946599634028965,"H2, H2O",1.5,954.0,3000.0,24.0
7,TOI1416,H10,IW4,True,450,55.97088523656926,"CO2, SO2",1.5,1704.0,5400.0,24.0
8,TOI1416,H20,IW0,True,320,437.01974105049806,"CO, N2",1.5,1216.5,3840.0,24.0
9,TOI1807,H10,IW0,True,185,153.4742926519814,"CO, N2",0.98,461.55,1221.0000000000002,13.2
10,TOI1807,H20,IW0,True,185,772.4945333188908,"CO, N2",0.98,461.55,1221.0000000000002,13.2
11,TOI1807,H5,IW4,True,290,13.56641297896406,"SO2, H2O",0.98,718.8000000000001,1914.0,13.2
12,TOI431,H05,IW4,True,75,30.06617935472506,"SO2, H2O",1.24,238.06,441.0,11.76
13,TOI431,H05,IW4,True,104,358.22151921438234,"SO2, S2",1.24,327.96,611.52,11.76
14,TOI500,H20,IW2,True,285,20.38406192626932,"H2O, H2",0.99,713.625,1881.0,13.2
15,TOI500,H20,IW4,True,320,217.25748870954104,"H2O, SO2",0.99,800.2499999999999,2112.0,13.2
16,TOI561,H20,IW4,True,315,45.076656752754914,"H2O, O2",1.31,1035.875,1701.0,10.8
